=== Información de circuitos ejecutados ===
Circuito: simon.py | Registros clásicos: c0 - c5 | Iteración: 1 | Batch: 1
Circuito: qft.py | Registros clásicos: c6 - c8 | Iteración: 1 | Batch: 1
Circuito: phase_estimation.py | Registros clásicos: c9 - c12 | Iteración: 1 | Batch: 1
Circuito: shor.py | Registros clásicos: c13 - c16 | Iteración: 1 | Batch: 1
Circuito: tsp.py | Registros clásicos: c17 - c19 | Iteración: 1 | Batch: 1
Circuito: bernstein-vazirani.py | Registros clásicos: c20 - c23 | Iteración: 1 | Batch: 1
Circuito: qwalk.py | Registros clásicos: c24 - c26 | Iteración: 1 | Batch: 1
Circuito: grover.py | Registros clásicos: c27 - c28 | Iteración: 1 | Batch: 1
Circuito: kickback.py | Registros clásicos: c29 - c30 | Iteración: 1 | Batch: 1
Circuito: qaoa.py | Registros clásicos: c31 - c32 | Iteración: 1 | Batch: 1
Circuito: full_adder.py | Registros clásicos: c33 - c36 | Iteración: 1 | Batch: 2
Circuito: Deutsch-Jozsa.py | Registros clásicos: c37 - c40 | Iteración: 1 | Batch: 2
